Source,Target,Type,Id,Label,timeset,Weight,based_on_page
190,1679,Undirected,142,,,1,XXV:190v
330,372,Undirected,143,,,1,XXV:190v
330,637,Undirected,144,,,1,XXV:190v
330,734,Undirected,145,,,1,XXV:190v
330,1306,Undirected,146,,,1,XXV:190v
330,1679,Undirected,147,,,1,XXV:190v
372,637,Undirected,148,,,1,XXV:190v
372,734,Undirected,149,,,1,XXV:190v
372,1306,Undirected,150,,,1,XXV:190v
372,1679,Undirected,151,,,1,XXV:190v
637,734,Undirected,152,,,1,XXV:190v
637,1306,Undirected,153,,,1,XXV:190v
637,1679,Undirected,154,,,1,XXV:190v
734,1306,Undirected,155,,,1,XXV:190v
734,1679,Undirected,156,,,1,XXV:190v
1306,1679,Undirected,157,,,2,XXV:191r
712,1041,Undirected,158,,,2,XXV:212r
334,394,Undirected,159,,,1,XXV:212r
334,712,Undirected,160,,,1,XXV:212r
334,1028,Undirected,161,,,4,XXV:213r
334,1041,Undirected,162,,,2,XXV:213r
334,1470,Undirected,163,,,2,XXV:213r
394,712,Undirected,164,,,1,XXV:212r
394,1028,Undirected,165,,,4,XXV:210r
394,1041,Undirected,166,,,1,XXV:212r
394,1470,Undirected,167,,,1,XXV:212r
712,1028,Undirected,168,,,1,XXV:212r
712,1470,Undirected,170,,,1,XXV:212r
1028,1041,Undirected,171,,,3,XXV:213v
1028,1470,Undirected,172,,,3,XXV:213v
1041,1470,Undirected,173,,,4,XXV:213v
1408,1415,Undirected,174,,,2,XXV:242r
1408,1477,Undirected,175,,,2,XXV:242r
1408,1548,Undirected,176,,,3,XXV:241r
1415,1477,Undirected,177,,,2,XXV:242r
1415,1548,Undirected,178,,,2,XXV:242r
1477,1548,Undirected,179,,,2,XXV:242r
1286,1357,Undirected,180,,,2,XXV:61r
690,1201,Undirected,181,,,4,XXV:214r
425,954,Undirected,182,,,4,XXV:55r
425,1286,Undirected,183,,,1,XXV:61v
954,1286,Undirected,184,,,2,XXV:61r
827,1256,Undirected,185,,,5,XXV:106r
827,1420,Undirected,186,,,5,XXV:106r
1256,1420,Undirected,187,,,7,XXV:106r
453,712,Undirected,188,,,1,XXV:119v
453,1256,Undirected,189,,,2,XXV:119r
453,1370,Undirected,190,,,1,XXV:119v
453,1481,Undirected,191,,,1,XXV:119v
453,1732,Undirected,192,,,2,XXV:119r
712,1256,Undirected,193,,,1,XXV:119v
712,1370,Undirected,194,,,1,XXV:119v
712,1481,Undirected,195,,,1,XXV:119v
712,1732,Undirected,196,,,1,XXV:119v
1256,1370,Undirected,197,,,3,XXV:103r
1256,1481,Undirected,198,,,2,XXV:120r
1256,1732,Undirected,199,,,22,XXV:101r
1370,1481,Undirected,200,,,1,XXV:119v
1370,1732,Undirected,201,,,3,XXV:103r
1481,1732,Undirected,202,,,1,XXV:119v
954,1357,Undirected,204,,,1,XXV:61r
549,1133,Undirected,206,,,1,XXV:105r
549,1144,Undirected,207,,,4,XXV:53r
549,1256,Undirected,208,,,1,XXV:105r
549,1295,Undirected,209,,,1,XXV:105r
549,1732,Undirected,210,,,1,XXV:105r
1133,1144,Undirected,211,,,3,XXV:107r
1133,1256,Undirected,212,,,7,XXV:106v
1133,1295,Undirected,213,,,1,XXV:105r
1133,1732,Undirected,214,,,1,XXV:105r
1144,1256,Undirected,215,,,5,XXV:106r
1144,1295,Undirected,216,,,1,XXV:105r
1144,1732,Undirected,217,,,3,XXV:247v
1256,1295,Undirected,218,,,3,XXV:125r
1295,1732,Undirected,220,,,2,XXV:119r
275,376,Undirected,221,,,5,XXV:153v
275,540,Undirected,222,,,6,XXV:156r
275,1441,Undirected,223,,,6,XXV:174v
275,1732,Undirected,224,,,12,XXV:101r
376,540,Undirected,225,,,3,XXV:151v
376,1441,Undirected,226,,,2,XXV:154r
376,1732,Undirected,227,,,27,XXV:87v
540,1441,Undirected,228,,,6,XXV:173r
540,1732,Undirected,229,,,5,XXV:156r
1441,1732,Undirected,230,,,6,XXV:173r
86,425,Undirected,231,,,3,XXV:60v
